id_factura,id_cliente,numero_factura,fecha_emision,fecha_vencimiento,valor_total,estado_factura
61,15,FAC-202604-0000061,2026-04-13,2026-05-02,91768,pagada
62,15,FAC-202510-0000062,2025-10-03,2025-10-20,100416,pagada
64,15,FAC-202602-0000064,2026-02-19,2026-03-01,102560,pagada
65,15,FAC-202510-0000065,2025-10-18,2025-10-31,33649,pagada
66,15,FAC-202601-0000066,2026-01-24,2026-02-06,32127,pagada
68,16,FAC-202511-0000068,2025-11-15,2025-12-04,184268,pagada
69,16,FAC-202602-0000069,2026-02-14,2026-03-03,186641,pagada
70,17,FAC-202512-0000070,2025-12-24,2026-01-08,52595,pagada
71,17,FAC-202510-0000071,2025-10-12,2025-10-27,32421,pagada
72,17,FAC-202512-0000072,2025-12-14,2026-01-01,45414,pagada
73,18,FAC-202510-0000073,2025-10-09,2025-10-20,33817,pagada
75,18,FAC-202510-0000075,2025-10-11,2025-10-21,52861,pagada
76,18,FAC-202512-0000076,2025-12-07,2025-12-26,55699,pagada
77,18,FAC-202601-0000077,2026-01-09,2026-01-22,64190,pagada
79,18,FAC-202604-0000079,2026-04-09,2026-04-23,60988,pagada
80,18,FAC-202510-0000080,2025-10-22,2025-11-07,29159,pagada
82,20,FAC-202510-0000082,2025-10-15,2025-10-27,254493,vencida
83,20,FAC-202511-0000083,2025-11-03,2025-11-13,257204,pagada
84,20,FAC-202512-0000084,2025-12-10,2025-12-29,263609,pagada
85,20,FAC-202601-0000085,2026-01-24,2026-02-03,270360,pagada
86,20,FAC-202603-0000086,2026-03-08,2026-03-23,266903,pagada
87,20,FAC-202510-0000087,2025-10-15,2025-11-01,32381,en_mora
89,20,FAC-202512-0000089,2025-12-19,2026-01-01,44658,pagada
90,20,FAC-202602-0000090,2026-02-15,2026-03-04,39260,pagada
91,20,FAC-202603-0000091,2026-03-20,2026-04-06,45173,pendiente
92,20,FAC-202604-0000092,2026-04-04,2026-04-18,28060,vencida
94,21,FAC-202511-0000094,2025-11-09,2025-11-26,147988,pagada
95,21,FAC-202601-0000095,2026-01-06,2026-01-25,152448,pagada
96,21,FAC-202603-0000096,2026-03-22,2026-04-05,138522,pagada
97,21,FAC-202510-0000097,2025-10-03,2025-10-20,216732,pagada
98,21,FAC-202512-0000098,2025-12-14,2025-12-31,214227,pagada
99,21,FAC-202601-0000099,2026-01-01,2026-01-12,212165,pagada
100,21,FAC-202603-0000100,2026-03-12,2026-03-31,221721,pagada
101,21,FAC-202604-0000101,2026-04-17,2026-05-06,211236,pendiente
102,22,FAC-202510-0000102,2025-10-12,2025-10-23,64822,pagada
103,22,FAC-202511-0000103,2025-11-10,2025-11-21,62535,en_mora
104,22,FAC-202512-0000104,2025-12-04,2025-12-23,64063,pagada
105,22,FAC-202601-0000105,2026-01-10,2026-01-29,67336,pagada
106,22,FAC-202602-0000106,2026-02-23,2026-03-09,65791,pagada
107,22,FAC-202604-0000107,2026-04-20,2026-05-01,61081,pagada
108,22,FAC-202510-0000108,2025-10-08,2025-10-21,23603,pagada
109,22,FAC-202512-0000109,2025-12-19,2025-12-30,32750,en_mora
110,22,FAC-202604-0000110,2026-04-08,2026-04-27,31617,en_mora
111,23,FAC-202511-0000111,2025-11-20,2025-11-30,71675,vencida
112,23,FAC-202512-0000112,2025-12-02,2025-12-18,77963,pagada
113,23,FAC-202602-0000113,2026-02-18,2026-03-08,80322,pagada
114,23,FAC-202604-0000114,2026-04-14,2026-05-01,83101,pagada
115,24,FAC-202510-0000115,2025-10-07,2025-10-20,99851,pagada
116,24,FAC-202511-0000116,2025-11-13,2025-11-27,108036,vencida
117,24,FAC-202512-0000117,2025-12-06,2025-12-16,100068,pendiente
118,24,FAC-202602-0000118,2026-02-10,2026-02-23,108947,vencida
119,24,FAC-202603-0000119,2026-03-18,2026-03-31,96812,pagada
120,24,FAC-202604-0000120,2026-04-21,2026-05-07,92436,pendiente
121,25,FAC-202510-0000121,2025-10-22,2025-11-05,48649,pagada
122,25,FAC-202512-0000122,2025-12-16,2025-12-28,66389,en_mora
123,25,FAC-202601-0000123,2026-01-08,2026-01-21,63327,pagada
124,25,FAC-202603-0000124,2026-03-18,2026-04-06,66983,en_mora
125,25,FAC-202604-0000125,2026-04-14,2026-05-01,59233,pagada
126,26,FAC-202601-0000126,2026-01-20,2026-02-08,217667,pagada
127,26,FAC-202602-0000127,2026-02-14,2026-03-04,226638,pagada
128,26,FAC-202603-0000128,2026-03-02,2026-03-20,212385,pagada
129,26,FAC-202604-0000129,2026-04-15,2026-04-28,218553,pagada
130,27,FAC-202510-0000130,2025-10-01,2025-10-15,47594,pagada
131,28,FAC-202512-0000131,2025-12-02,2025-12-19,33357,pagada
132,28,FAC-202604-0000132,2026-04-16,2026-04-30,40061,pagada
133,28,FAC-202510-0000133,2025-10-09,2025-10-28,291600,pagada
135,28,FAC-202512-0000135,2025-12-23,2026-01-11,288230,en_mora
136,28,FAC-202603-0000136,2026-03-17,2026-03-28,290071,pagada
137,28,FAC-202510-0000137,2025-10-02,2025-10-12,42070,pagada
138,28,FAC-202511-0000138,2025-11-21,2025-12-06,39012,pagada
139,28,FAC-202512-0000139,2025-12-15,2025-12-26,34609,pendiente
140,28,FAC-202601-0000140,2026-01-24,2026-02-05,47660,pagada
141,28,FAC-202602-0000141,2026-02-18,2026-03-07,48040,pagada
142,28,FAC-202604-0000142,2026-04-16,2026-05-04,34951,pagada
143,29,FAC-202511-0000143,2025-11-10,2025-11-21,33665,pagada
144,29,FAC-202601-0000144,2026-01-06,2026-01-22,43562,pagada
145,30,FAC-202510-0000145,2025-10-09,2025-10-27,99568,en_mora
146,30,FAC-202510-0000146,2025-10-09,2025-10-22,21756,en_mora
147,30,FAC-202602-0000147,2026-02-14,2026-03-03,20278,pagada
149,31,FAC-202512-0000149,2025-12-01,2025-12-18,95661,pagada
150,31,FAC-202602-0000150,2026-02-11,2026-02-24,100129,en_mora
151,31,FAC-202510-0000151,2025-10-14,2025-11-01,32489,pagada
152,31,FAC-202602-0000152,2026-02-06,2026-02-17,31835,pagada
153,31,FAC-202510-0000153,2025-10-17,2025-10-31,166065,pagada
154,31,FAC-202511-0000154,2025-11-23,2025-12-09,163024,pagada
155,31,FAC-202512-0000155,2025-12-05,2025-12-15,167006,pagada
156,31,FAC-202601-0000156,2026-01-10,2026-01-21,167385,pendiente
157,32,FAC-202510-0000157,2025-10-18,2025-11-04,74413,pagada
158,32,FAC-202601-0000158,2026-01-24,2026-02-04,86136,pagada
159,32,FAC-202603-0000159,2026-03-22,2026-04-03,81027,en_mora
160,32,FAC-202604-0000160,2026-04-03,2026-04-13,86254,pagada
161,33,FAC-202601-0000161,2026-01-13,2026-01-30,105119,pagada
162,33,FAC-202603-0000162,2026-03-24,2026-04-08,107150,pagada
163,34,FAC-202510-0000163,2025-10-24,2025-11-04,65819,pagada
164,34,FAC-202601-0000164,2026-01-04,2026-01-23,75327,pagada
165,34,FAC-202604-0000165,2026-04-01,2026-04-13,56288,pagada
166,34,FAC-202510-0000166,2025-10-21,2025-11-05,39795,pagada
168,35,FAC-202510-0000168,2025-10-08,2025-10-18,75714,pagada
169,35,FAC-202512-0000169,2025-12-21,2026-01-02,72557,vencida
170,35,FAC-202602-0000170,2026-02-14,2026-02-26,74609,pagada
171,35,FAC-202604-0000171,2026-04-24,2026-05-09,84845,pagada
172,35,FAC-202510-0000172,2025-10-23,2025-11-05,102631,pagada
173,35,FAC-202511-0000173,2025-11-21,2025-12-08,89460,vencida
174,35,FAC-202601-0000174,2026-01-12,2026-01-31,97360,pagada
177,36,FAC-202602-0000177,2026-02-03,2026-02-19,96153,pagada
178,36,FAC-202604-0000178,2026-04-03,2026-04-22,101485,vencida
180,37,FAC-202604-0000180,2026-04-03,2026-04-14,46126,pagada
181,37,FAC-202510-0000181,2025-10-19,2025-10-31,42544,pagada
182,37,FAC-202602-0000182,2026-02-18,2026-03-08,37214,vencida
183,37,FAC-202604-0000183,2026-04-10,2026-04-20,28720,pagada
184,37,FAC-202510-0000184,2025-10-17,2025-11-05,60197,pagada
185,37,FAC-202604-0000185,2026-04-10,2026-04-29,56764,vencida
186,37,FAC-202510-0000186,2025-10-05,2025-10-17,32771,pagada
187,37,FAC-202601-0000187,2026-01-07,2026-01-22,27913,pagada
189,37,FAC-202604-0000189,2026-04-04,2026-04-20,35058,pagada
190,38,FAC-202510-0000190,2025-10-22,2025-11-01,33905,pagada
191,38,FAC-202602-0000191,2026-02-05,2026-02-17,37419,vencida
192,38,FAC-202510-0000192,2025-10-23,2025-11-04,348982,pagada
194,38,FAC-202602-0000194,2026-02-12,2026-02-26,359713,pagada
195,38,FAC-202603-0000195,2026-03-03,2026-03-16,345809,pagada
196,38,FAC-202604-0000196,2026-04-15,2026-05-02,353014,pagada
197,38,FAC-202510-0000197,2025-10-04,2025-10-22,137767,pagada
198,38,FAC-202511-0000198,2025-11-05,2025-11-20,147389,pagada
199,38,FAC-202512-0000199,2025-12-04,2025-12-16,138353,pagada
200,38,FAC-202603-0000200,2026-03-15,2026-04-02,136218,pagada
202,39,FAC-202510-0000202,2025-10-10,2025-10-25,67098,pagada
203,39,FAC-202512-0000203,2025-12-02,2025-12-13,74198,pagada
204,39,FAC-202601-0000204,2026-01-06,2026-01-25,74633,pagada
205,39,FAC-202603-0000205,2026-03-19,2026-04-04,69328,pagada
206,40,FAC-202510-0000206,2025-10-04,2025-10-23,100460,pagada
207,40,FAC-202512-0000207,2025-12-24,2026-01-05,102153,pagada
208,40,FAC-202510-0000208,2025-10-13,2025-10-26,23239,pagada
209,40,FAC-202602-0000209,2026-02-20,2026-03-06,23033,en_mora
211,41,FAC-202512-0000211,2025-12-21,2026-01-06,69222,pagada
212,41,FAC-202602-0000212,2026-02-04,2026-02-15,79502,vencida
213,41,FAC-202510-0000213,2025-10-23,2025-11-10,49967,pagada
214,41,FAC-202511-0000214,2025-11-02,2025-11-12,54934,vencida
215,41,FAC-202601-0000215,2026-01-15,2026-01-29,58930,pendiente
217,42,FAC-202510-0000217,2025-10-05,2025-10-21,96126,pendiente
220,43,FAC-202603-0000220,2026-03-02,2026-03-20,33235,pendiente
221,44,FAC-202510-0000221,2025-10-05,2025-10-21,32549,pagada
222,44,FAC-202512-0000222,2025-12-20,2026-01-06,28880,en_mora
223,45,FAC-202510-0000223,2025-10-22,2025-11-05,77433,pendiente
224,45,FAC-202511-0000224,2025-11-07,2025-11-17,92436,pagada
225,45,FAC-202512-0000225,2025-12-23,2026-01-10,76438,pagada
226,45,FAC-202602-0000226,2026-02-02,2026-02-21,79920,pagada
227,48,FAC-202510-0000227,2025-10-03,2025-10-22,110175,pagada
228,48,FAC-202510-0000228,2025-10-15,2025-10-25,37947,vencida
230,48,FAC-202512-0000230,2025-12-18,2026-01-01,82901,pagada
231,48,FAC-202602-0000231,2026-02-04,2026-02-21,95094,pagada
232,48,FAC-202603-0000232,2026-03-01,2026-03-19,78212,vencida
233,49,FAC-202601-0000233,2026-01-02,2026-01-13,49409,pagada
234,49,FAC-202510-0000234,2025-10-07,2025-10-23,47546,pagada
236,49,FAC-202601-0000236,2026-01-22,2026-02-03,44772,en_mora
237,50,FAC-202510-0000237,2025-10-09,2025-10-22,36180,pendiente
238,51,FAC-202603-0000238,2026-03-21,2026-04-08,94497,pagada
239,51,FAC-202510-0000239,2025-10-05,2025-10-19,80158,pagada
240,51,FAC-202601-0000240,2026-01-21,2026-02-07,86307,pagada
241,51,FAC-202603-0000241,2026-03-09,2026-03-20,77762,vencida
242,51,FAC-202604-0000242,2026-04-05,2026-04-21,77217,pagada
243,51,FAC-202510-0000243,2025-10-12,2025-10-29,138161,vencida
244,51,FAC-202511-0000244,2025-11-20,2025-12-07,152159,en_mora
245,51,FAC-202601-0000245,2026-01-09,2026-01-20,140022,pagada
247,52,FAC-202510-0000247,2025-10-09,2025-10-19,54266,pagada
248,52,FAC-202512-0000248,2025-12-06,2025-12-17,60285,pagada
249,52,FAC-202602-0000249,2026-02-24,2026-03-11,53215,en_mora
250,52,FAC-202603-0000250,2026-03-09,2026-03-21,67327,en_mora
252,53,FAC-202512-0000252,2025-12-22,2026-01-04,115457,pagada
255,54,FAC-202603-0000255,2026-03-17,2026-04-04,202814,pendiente
256,54,FAC-202604-0000256,2026-04-08,2026-04-26,197517,vencida
257,54,FAC-202602-0000257,2026-02-06,2026-02-25,79394,pagada
258,54,FAC-202604-0000258,2026-04-05,2026-04-18,87118,pagada
259,54,FAC-202510-0000259,2025-10-12,2025-10-22,54858,pagada
260,54,FAC-202602-0000260,2026-02-20,2026-03-03,68838,pagada
261,55,FAC-202604-0000261,2026-04-14,2026-04-24,106143,pagada
262,56,FAC-202510-0000262,2025-10-21,2025-11-02,66234,pagada
263,56,FAC-202512-0000263,2025-12-23,2026-01-08,56859,pagada
264,56,FAC-202601-0000264,2026-01-01,2026-01-13,63919,pagada
266,56,FAC-202510-0000266,2025-10-09,2025-10-25,25625,pagada
267,56,FAC-202604-0000267,2026-04-05,2026-04-23,22747,vencida
268,57,FAC-202510-0000268,2025-10-11,2025-10-26,254293,pagada
269,57,FAC-202603-0000269,2026-03-06,2026-03-21,251028,pagada
270,57,FAC-202604-0000270,2026-04-23,2026-05-08,258933,pagada
271,58,FAC-202510-0000271,2025-10-07,2025-10-18,47730,pagada
272,58,FAC-202512-0000272,2025-12-02,2025-12-19,45388,vencida
273,58,FAC-202602-0000273,2026-02-22,2026-03-08,40640,pagada
274,58,FAC-202604-0000274,2026-04-02,2026-04-21,48280,pagada
275,59,FAC-202603-0000275,2026-03-08,2026-03-19,38116,pagada
276,60,FAC-202603-0000276,2026-03-21,2026-04-02,70975,pendiente
277,60,FAC-202604-0000277,2026-04-04,2026-04-14,69478,vencida
278,61,FAC-202510-0000278,2025-10-12,2025-10-23,30072,pagada
279,62,FAC-202510-0000279,2025-10-10,2025-10-21,270464,pagada
280,62,FAC-202601-0000280,2026-01-01,2026-01-20,274190,pendiente
281,63,FAC-202510-0000281,2025-10-11,2025-10-22,100599,pagada
282,63,FAC-202512-0000282,2025-12-07,2025-12-25,95343,pendiente
283,63,FAC-202602-0000283,2026-02-20,2026-03-02,94055,pendiente
284,63,FAC-202603-0000284,2026-03-09,2026-03-24,94007,pagada
285,63,FAC-202603-0000285,2026-03-22,2026-04-02,28663,pagada
286,64,FAC-202510-0000286,2025-10-01,2025-10-14,48653,vencida
287,64,FAC-202602-0000287,2026-02-13,2026-02-26,36649,en_mora
288,64,FAC-202604-0000288,2026-04-16,2026-04-30,50039,pagada
289,64,FAC-202510-0000289,2025-10-02,2025-10-14,94377,pagada
290,64,FAC-202602-0000290,2026-02-16,2026-03-01,104452,pagada
291,64,FAC-202510-0000291,2025-10-01,2025-10-20,99128,pagada
292,64,FAC-202512-0000292,2025-12-18,2026-01-03,88365,pendiente
293,64,FAC-202601-0000293,2026-01-09,2026-01-25,99009,vencida
294,64,FAC-202510-0000294,2025-10-05,2025-10-18,158530,pagada
297,64,FAC-202603-0000297,2026-03-13,2026-03-27,151835,pagada
298,65,FAC-202510-0000298,2025-10-20,2025-11-03,62794,pagada
299,65,FAC-202603-0000299,2026-03-16,2026-04-02,65011,pendiente
300,66,FAC-202510-0000300,2025-10-08,2025-10-25,94222,pagada
301,66,FAC-202512-0000301,2025-12-04,2025-12-19,91506,pagada
302,66,FAC-202601-0000302,2026-01-16,2026-02-01,98868,vencida
303,66,FAC-202603-0000303,2026-03-11,2026-03-30,101751,pendiente
304,66,FAC-202510-0000304,2025-10-22,2025-11-05,32486,pagada
305,67,FAC-202511-0000305,2025-11-09,2025-11-22,75899,pagada
306,67,FAC-202512-0000306,2025-12-04,2025-12-15,87554,pagada
307,67,FAC-202601-0000307,2026-01-24,2026-02-03,69653,pendiente
308,67,FAC-202604-0000308,2026-04-14,2026-04-28,71514,pagada
309,68,FAC-202512-0000309,2025-12-06,2025-12-19,47470,pagada
310,69,FAC-202510-0000310,2025-10-20,2025-11-04,78488,pagada
311,69,FAC-202601-0000311,2026-01-03,2026-01-15,60712,vencida
312,69,FAC-202603-0000312,2026-03-11,2026-03-29,63776,pagada
314,69,FAC-202601-0000314,2026-01-12,2026-01-27,154599,pagada
315,69,FAC-202603-0000315,2026-03-22,2026-04-09,153807,pagada
316,70,FAC-202604-0000316,2026-04-09,2026-04-23,113616,pagada
317,71,FAC-202510-0000317,2025-10-12,2025-10-31,229909,pagada
318,71,FAC-202511-0000318,2025-11-23,2025-12-11,220086,pagada
319,71,FAC-202601-0000319,2026-01-14,2026-02-01,213220,pagada
320,72,FAC-202510-0000320,2025-10-17,2025-11-01,23132,pagada
322,73,FAC-202604-0000322,2026-04-24,2026-05-09,31410,en_mora
323,73,FAC-202510-0000323,2025-10-16,2025-10-29,41026,vencida
324,73,FAC-202512-0000324,2025-12-18,2026-01-02,30465,pendiente
325,73,FAC-202602-0000325,2026-02-08,2026-02-22,38225,pagada
326,73,FAC-202604-0000326,2026-04-03,2026-04-17,26973,vencida
327,74,FAC-202604-0000327,2026-04-11,2026-04-22,68066,pagada
328,75,FAC-202510-0000328,2025-10-16,2025-11-04,71480,en_mora
329,75,FAC-202511-0000329,2025-11-06,2025-11-25,56732,pagada
330,75,FAC-202602-0000330,2026-02-02,2026-02-21,60159,pagada
331,75,FAC-202510-0000331,2025-10-07,2025-10-21,29846,vencida
332,75,FAC-202604-0000332,2026-04-15,2026-05-02,32833,pagada
333,75,FAC-202603-0000333,2026-03-22,2026-04-07,124088,pendiente
334,75,FAC-202604-0000334,2026-04-20,2026-05-09,128500,pagada
335,76,FAC-202510-0000335,2025-10-15,2025-11-01,31642,pagada
336,76,FAC-202602-0000336,2026-02-02,2026-02-14,23107,pagada
337,77,FAC-202512-0000337,2025-12-07,2025-12-19,25081,pagada
338,78,FAC-202510-0000338,2025-10-11,2025-10-27,59999,pendiente
340,78,FAC-202512-0000340,2025-12-07,2025-12-21,37436,pendiente
341,79,FAC-202512-0000341,2025-12-15,2026-01-01,30154,pagada
342,79,FAC-202602-0000342,2026-02-04,2026-02-14,32941,pagada
343,79,FAC-202510-0000343,2025-10-11,2025-10-29,88281,pagada
344,79,FAC-202511-0000344,2025-11-04,2025-11-19,73309,pagada
345,79,FAC-202601-0000345,2026-01-19,2026-02-02,83987,pagada
346,79,FAC-202602-0000346,2026-02-13,2026-03-04,74571,pagada
347,80,FAC-202510-0000347,2025-10-21,2025-10-31,40312,vencida
348,80,FAC-202512-0000348,2025-12-05,2025-12-24,41845,pagada
349,80,FAC-202602-0000349,2026-02-06,2026-02-18,41393,pagada
351,81,FAC-202511-0000351,2025-11-24,2025-12-06,61393,pagada
352,81,FAC-202602-0000352,2026-02-17,2026-03-02,58625,pagada
353,81,FAC-202603-0000353,2026-03-07,2026-03-24,65565,pagada
354,81,FAC-202511-0000354,2025-11-10,2025-11-23,86474,pagada
355,81,FAC-202512-0000355,2025-12-12,2025-12-26,82382,pagada
356,81,FAC-202602-0000356,2026-02-02,2026-02-18,86465,vencida
357,81,FAC-202604-0000357,2026-04-13,2026-04-30,84640,pagada
358,82,FAC-202512-0000358,2025-12-21,2026-01-03,21203,pagada
359,82,FAC-202604-0000359,2026-04-03,2026-04-17,22181,pagada
360,82,FAC-202601-0000360,2026-01-20,2026-02-06,105541,pagada
361,82,FAC-202603-0000361,2026-03-06,2026-03-20,103732,vencida
362,83,FAC-202510-0000362,2025-10-14,2025-11-01,123149,pagada
363,83,FAC-202601-0000363,2026-01-12,2026-01-26,119438,en_mora
365,83,FAC-202604-0000365,2026-04-19,2026-04-29,117753,pagada
366,83,FAC-202510-0000366,2025-10-20,2025-10-31,51752,pagada
367,83,FAC-202512-0000367,2025-12-01,2025-12-15,46759,pagada
368,84,FAC-202602-0000368,2026-02-16,2026-03-07,35354,pendiente
369,84,FAC-202604-0000369,2026-04-05,2026-04-24,18710,pagada
370,84,FAC-202510-0000370,2025-10-11,2025-10-30,33709,pagada
371,84,FAC-202604-0000371,2026-04-11,2026-04-24,31114,pagada
372,85,FAC-202510-0000372,2025-10-18,2025-10-28,33733,pendiente
374,85,FAC-202601-0000374,2026-01-14,2026-01-26,31912,pagada
375,85,FAC-202604-0000375,2026-04-06,2026-04-21,47553,pagada
376,85,FAC-202510-0000376,2025-10-18,2025-10-29,77315,pendiente
377,85,FAC-202511-0000377,2025-11-15,2025-11-28,81819,en_mora
378,85,FAC-202512-0000378,2025-12-15,2025-12-27,81000,en_mora
379,85,FAC-202601-0000379,2026-01-08,2026-01-22,75090,pagada
380,85,FAC-202603-0000380,2026-03-20,2026-04-05,66671,pagada
382,86,FAC-202510-0000382,2025-10-21,2025-11-04,59047,pendiente
383,86,FAC-202601-0000383,2026-01-02,2026-01-18,43383,pendiente
384,86,FAC-202602-0000384,2026-02-16,2026-02-28,59371,pagada
385,86,FAC-202603-0000385,2026-03-15,2026-03-30,59110,pagada
386,87,FAC-202510-0000386,2025-10-06,2025-10-24,60519,pagada
387,87,FAC-202602-0000387,2026-02-15,2026-02-25,55871,vencida
389,87,FAC-202512-0000389,2025-12-10,2025-12-20,37080,pagada
390,89,FAC-202510-0000390,2025-10-11,2025-10-21,121711,pagada
391,89,FAC-202601-0000391,2026-01-23,2026-02-03,135580,pagada
392,91,FAC-202510-0000392,2025-10-05,2025-10-18,65494,en_mora
393,92,FAC-202510-0000393,2025-10-24,2025-11-12,23615,pagada
394,92,FAC-202602-0000394,2026-02-23,2026-03-05,22017,vencida
395,93,FAC-202510-0000395,2025-10-11,2025-10-28,81566,pagada
396,93,FAC-202511-0000396,2025-11-05,2025-11-15,99282,vencida
397,93,FAC-202601-0000397,2026-01-02,2026-01-14,89369,pagada
398,93,FAC-202603-0000398,2026-03-20,2026-04-02,97877,en_mora
399,93,FAC-202604-0000399,2026-04-16,2026-04-30,97580,pagada
400,94,FAC-202602-0000400,2026-02-07,2026-02-18,43812,pagada
401,95,FAC-202510-0000401,2025-10-19,2025-11-03,35513,pagada
402,95,FAC-202602-0000402,2026-02-23,2026-03-05,31878,pendiente
403,96,FAC-202510-0000403,2025-10-09,2025-10-23,40583,pagada
404,96,FAC-202604-0000404,2026-04-20,2026-05-03,45254,pagada
405,96,FAC-202510-0000405,2025-10-08,2025-10-26,144950,pagada
406,96,FAC-202603-0000406,2026-03-09,2026-03-22,146091,pagada
407,96,FAC-202604-0000407,2026-04-08,2026-04-20,143238,pagada
408,97,FAC-202510-0000408,2025-10-02,2025-10-15,72689,en_mora
409,97,FAC-202602-0000409,2026-02-14,2026-02-26,69686,pagada
410,97,FAC-202603-0000410,2026-03-18,2026-03-31,66282,pagada
411,97,FAC-202604-0000411,2026-04-11,2026-04-29,47940,pagada
412,98,FAC-202510-0000412,2025-10-09,2025-10-22,77559,pagada
414,98,FAC-202512-0000414,2025-12-24,2026-01-06,82006,pendiente
415,98,FAC-202602-0000415,2026-02-12,2026-02-26,83938,pagada
416,98,FAC-202603-0000416,2026-03-04,2026-03-21,85950,pagada
417,98,FAC-202510-0000417,2025-10-03,2025-10-17,112924,pendiente
420,98,FAC-202603-0000420,2026-03-24,2026-04-12,109140,pagada
422,99,FAC-202602-0000422,2026-02-02,2026-02-18,238000,pagada
423,99,FAC-202603-0000423,2026-03-07,2026-03-21,238406,pendiente
424,99,FAC-202510-0000424,2025-10-12,2025-10-24,100977,pagada
425,99,FAC-202512-0000425,2025-12-15,2025-12-30,91425,vencida
426,99,FAC-202601-0000426,2026-01-08,2026-01-18,93400,pagada
427,99,FAC-202510-0000427,2025-10-24,2025-11-07,37015,pagada
428,99,FAC-202511-0000428,2025-11-18,2025-11-29,25044,pagada
429,99,FAC-202601-0000429,2026-01-15,2026-02-02,30658,pagada
