"id_llamada","id_cliente","id_agente","id_departamento","id_caso","id_tipo_servicio","id_motivo","id_resultado","tipo_llamada","fecha_hora_inicio","fecha_hora_fin","duracion_segundos","tiempo_espera_segundos","canal","requiere_seguimiento"
"106665","24898","131","1","","1","1","1","entrante","2025-10-13 06:51:23","2025-10-13 06:55:12","229","73","telefono","0"
"93685","24242","56","4","","4","12","1","saliente","2025-10-13 07:01:17","2025-10-13 07:03:42","145","16","telefono","0"
"99991","9500","108","4","","4","10","1","saliente","2025-10-13 07:05:41","2025-10-13 07:09:45","244","61","voip","0"
"18933","3660","28","4","9610","4","10","1","saliente","2025-10-13 07:05:50","2025-10-13 07:07:23","93","57","voip","0"
"14296","22676","165","5","7232","5","15","3","entrante","2025-10-13 07:08:55","2025-10-13 07:12:04","189","9","telefono","1"
"59198","12602","66","3","","3","8","1","entrante","2025-10-13 07:09:02","2025-10-13 07:12:21","199","74","telefono","0"
"53292","3561","140","3","27079","3","7","1","entrante","2025-10-13 07:15:26","2025-10-13 07:20:04","278","91","telefono","0"
"95983","20737","174","2","","2","4","1","saliente","2025-10-13 07:17:20","2025-10-13 07:24:54","454","65","campana","0"
"70157","10810","121","2","","2","4","1","entrante","2025-10-13 07:18:55","2025-10-13 07:27:47","532","65","voip","0"
"53878","8448","145","1","27374","1","3","3","entrante","2025-10-13 07:25:08","2025-10-13 07:30:53","345","30","voip","1"
"106604","20281","134","2","","2","5","1","entrante","2025-10-13 07:27:39","2025-10-13 07:34:13","394","121","telefono","0"
"34668","21286","133","1","17636","1","1","1","entrante","2025-10-13 07:38:15","2025-10-13 07:42:15","240","0","telefono","0"
"46069","13032","99","1","23443","1","1","1","entrante","2025-10-13 07:39:52","2025-10-13 07:46:16","384","110","telefono","0"
"41604","19773","6","2","21199","2","4","6","entrante","2025-10-13 07:45:45","2025-10-13 07:54:11","506","157","telefono","1"
"93326","23203","2","5","","5","13","1","saliente","2025-10-13 07:48:35","2025-10-13 07:52:11","216","64","voip","0"
"63297","2021","1","1","","1","2","6","entrante","2025-10-13 07:52:52","2025-10-13 07:55:30","158","24","voip","1"
"14787","29163","36","5","7478","5","14","1","entrante","2025-10-13 07:53:07","2025-10-13 07:56:01","174","59","telefono","0"
"91047","17460","126","5","","5","14","1","entrante","2025-10-13 07:55:46","2025-10-13 07:59:14","208","103","voip","0"
"44556","9575","104","5","22678","5","15","1","entrante","2025-10-13 07:58:57","2025-10-13 08:02:15","198","94","telefono","0"
"104561","14624","135","5","","5","13","3","entrante","2025-10-13 08:03:46","2025-10-13 08:08:02","256","127","telefono","1"
"92487","9723","136","4","","4","10","1","saliente","2025-10-13 08:03:57","2025-10-13 08:06:44","167","116","telefono","0"
"118354","6659","112","2","","2","5","6","entrante","2025-10-13 08:08:06","2025-10-13 08:25:21","1035","116","voip","1"
"61879","1439","144","5","","5","15","3","saliente","2025-10-13 08:08:51","2025-10-13 08:11:05","134","52","telefono","1"
"56296","17758","39","2","28586","2","5","1","entrante","2025-10-13 08:08:54","2025-10-13 08:16:11","437","170","telefono","0"
"51102","27620","72","1","25983","1","3","2","entrante","2025-10-13 08:10:25","2025-10-13 08:16:21","356","69","telefono","1"
"69912","16210","116","2","","2","6","1","entrante","2025-10-13 08:10:26","2025-10-13 08:17:49","443","69","telefono","0"
"10002","20195","177","5","5057","5","13","1","entrante","2025-10-13 08:11:09","2025-10-13 08:12:37","88","43","telefono","0"
"80458","593","85","1","","1","2","1","entrante","2025-10-13 08:11:54","2025-10-13 08:15:49","235","99","telefono","0"
"922","6655","103","2","469","2","4","3","entrante","2025-10-13 08:12:00","2025-10-13 08:19:21","441","106","voip","1"
"61503","22058","47","1","","1","3","1","entrante","2025-10-13 08:13:40","2025-10-13 08:16:19","159","86","telefono","0"
"111017","23358","99","1","","1","2","6","saliente","2025-10-13 08:14:30","2025-10-13 08:18:27","237","82","voip","1"
"81406","29199","162","5","","5","14","6","entrante","2025-10-13 08:14:32","2025-10-13 08:17:19","167","82","telefono","1"
"110960","493","17","5","","5","14","3","saliente","2025-10-13 08:16:33","2025-10-13 08:19:32","179","83","telefono","1"
"70056","14714","69","5","","5","15","1","saliente","2025-10-13 08:19:22","2025-10-13 08:22:08","166","97","voip","0"
"109810","2099","2","5","","5","14","1","saliente","2025-10-13 08:20:07","2025-10-13 08:23:06","179","120","telefono","0"
"97995","2011","78","1","","1","2","6","entrante","2025-10-13 08:20:26","2025-10-13 08:23:35","189","62","voip","1"
"101629","11401","114","3","","3","8","1","entrante","2025-10-13 08:21:03","2025-10-13 08:24:40","217","32","voip","0"
"121296","7589","25","1","","1","2","1","entrante","2025-10-13 08:23:48","2025-10-13 08:28:02","254","48","campana","0"
"61128","20612","136","4","","4","10","6","saliente","2025-10-13 08:24:14","2025-10-13 08:27:07","173","4","telefono","1"
"96253","20146","169","5","","5","13","1","saliente","2025-10-13 08:25:47","2025-10-13 08:29:03","196","90","telefono","0"
"52994","3106","26","5","26934","5","13","3","entrante","2025-10-13 08:25:59","2025-10-13 08:29:16","197","101","telefono","1"
"32784","25334","152","1","16681","1","2","2","entrante","2025-10-13 08:26:58","2025-10-13 08:30:30","212","132","telefono","1"
"94928","17420","83","3","","3","9","1","entrante","2025-10-13 08:27:32","2025-10-13 08:31:08","216","23","telefono","0"
"93328","25745","90","5","","5","13","1","entrante","2025-10-13 08:28:29","2025-10-13 08:31:52","203","140","telefono","0"
"28754","5325","144","5","14576","5","15","6","entrante","2025-10-13 08:28:34","2025-10-13 08:34:40","366","107","telefono","1"
"28003","14113","166","2","14195","2","5","2","entrante","2025-10-13 08:29:25","2025-10-13 08:41:03","698","126","voip","1"
"110721","2706","42","2","","2","5","6","entrante","2025-10-13 08:30:30","2025-10-13 08:39:07","517","90","telefono","1"
"110810","15365","","5","","5","13","5","entrante","2025-10-13 08:31:07","2025-10-13 08:31:32","25","96","voip","0"
"74792","19542","144","5","","5","14","1","entrante","2025-10-13 08:32:49","2025-10-13 08:35:12","143","97","telefono","0"
"83304","16401","50","4","","4","10","1","entrante","2025-10-13 08:32:57","2025-10-13 08:36:57","240","89","voip","0"
"9998","15212","19","2","5053","2","6","1","entrante","2025-10-13 08:33:59","2025-10-13 08:45:03","664","166","telefono","0"
"18818","16525","24","2","9547","2","5","1","entrante","2025-10-13 08:34:45","2025-10-13 08:48:53","848","102","telefono","0"
"48386","22742","132","1","24613","1","1","3","entrante","2025-10-13 08:35:33","2025-10-13 08:39:25","232","91","telefono","1"
"43419","18820","90","5","22088","5","13","1","entrante","2025-10-13 08:35:49","2025-10-13 08:39:46","237","62","telefono","0"
"120936","6742","","2","","2","5","5","entrante","2025-10-13 08:36:54","2025-10-13 08:37:31","37","76","voip","0"
"80005","14455","177","5","","5","15","1","entrante","2025-10-13 08:37:02","2025-10-13 08:39:36","154","80","campana","0"
"70902","4937","","1","","1","1","5","entrante","2025-10-13 08:37:15","2025-10-13 08:37:47","32","71","voip","0"
"108213","17031","162","5","","5","13","1","entrante","2025-10-13 08:40:04","2025-10-13 08:44:10","246","139","voip","0"
"64431","12063","126","5","","5","14","1","entrante","2025-10-13 08:41:43","2025-10-13 08:43:22","99","41","telefono","0"
"58929","4996","169","5","","5","15","1","saliente","2025-10-13 08:41:55","2025-10-13 08:45:01","186","112","campana","0"
"24916","22339","177","5","12643","5","14","1","entrante","2025-10-13 08:42:07","2025-10-13 08:43:55","108","57","telefono","0"
"69453","11864","26","5","","5","13","1","entrante","2025-10-13 08:42:23","2025-10-13 08:45:04","161","78","telefono","0"
"57643","4844","162","5","","5","15","1","entrante","2025-10-13 08:42:26","2025-10-13 08:48:19","353","65","telefono","0"
"58551","26845","132","1","","1","3","3","entrante","2025-10-13 08:44:51","2025-10-13 08:47:15","144","51","telefono","1"
"91259","21940","","1","","1","1","5","entrante","2025-10-13 08:46:21","2025-10-13 08:47:18","57","149","telefono","0"
"62129","695","67","3","","3","7","1","saliente","2025-10-13 08:46:29","2025-10-13 08:49:12","163","53","telefono","0"
"121840","15063","31","4","","4","12","1","entrante","2025-10-13 08:46:47","2025-10-13 08:49:43","176","36","telefono","0"
"108850","25775","144","5","","5","14","1","saliente","2025-10-13 08:47:36","2025-10-13 08:50:34","178","59","telefono","0"
"67689","3144","44","2","","2","4","1","entrante","2025-10-13 08:51:27","2025-10-13 08:57:14","347","89","telefono","0"
"110036","3137","105","5","","5","15","1","entrante","2025-10-13 08:51:32","2025-10-13 08:57:08","336","50","voip","0"
"68763","20284","","5","","5","13","4","saliente","2025-10-13 08:52:08","2025-10-13 08:52:18","10","143","telefono","0"
"52374","23145","144","5","26635","5","13","1","entrante","2025-10-13 08:55:12","2025-10-13 08:59:17","245","42","campana","0"
"104150","12020","110","3","","3","8","1","saliente","2025-10-13 08:55:16","2025-10-13 09:00:54","338","49","telefono","0"
"72117","25194","92","1","","1","2","3","entrante","2025-10-13 08:56:38","2025-10-13 08:58:51","133","49","telefono","1"
"122697","27172","161","3","","3","7","1","entrante","2025-10-13 08:57:41","2025-10-13 09:01:41","240","79","telefono","0"
"73333","18200","87","1","","1","3","1","entrante","2025-10-13 08:57:47","2025-10-13 09:00:29","162","159","campana","0"
"7710","6223","16","4","3910","4","11","3","saliente","2025-10-13 08:58:08","2025-10-13 08:59:33","85","89","telefono","1"
"43434","17708","139","3","22095","3","9","1","entrante","2025-10-13 08:59:44","2025-10-13 09:02:06","142","26","telefono","0"
"73907","14916","8","5","","5","14","1","entrante","2025-10-13 09:00:52","2025-10-13 09:03:31","159","69","telefono","0"
"70679","730","9","3","","3","8","3","entrante","2025-10-13 09:01:47","2025-10-13 09:04:36","169","14","voip","1"
"27334","29102","121","2","13867","2","4","2","entrante","2025-10-13 09:02:05","2025-10-13 09:08:07","362","79","voip","1"
"13083","7805","15","3","6634","3","7","3","entrante","2025-10-13 09:03:13","2025-10-13 09:08:10","297","54","voip","1"
"44150","1305","91","1","22447","1","2","3","entrante","2025-10-13 09:03:19","2025-10-13 09:12:18","539","53","telefono","1"
"42225","2573","56","4","21503","4","12","3","saliente","2025-10-13 09:09:44","2025-10-13 09:12:00","136","146","telefono","1"
"29671","27154","38","1","15059","1","3","6","entrante","2025-10-13 09:13:03","2025-10-13 09:16:52","229","16","voip","1"
"78196","13273","","1","","1","3","5","entrante","2025-10-13 09:14:44","2025-10-13 09:15:03","19","49","voip","0"
"12592","26811","150","1","6366","1","2","3","entrante","2025-10-13 09:14:45","2025-10-13 09:22:05","440","80","telefono","1"
"96353","27255","95","1","","1","3","1","entrante","2025-10-13 09:15:39","2025-10-13 09:19:34","235","85","campana","0"
"56845","17919","23","2","28874","2","6","1","entrante","2025-10-13 09:15:56","2025-10-13 09:27:47","711","41","voip","0"
"24234","14572","100","2","12292","2","4","2","entrante","2025-10-13 09:16:08","2025-10-13 09:26:22","614","101","telefono","1"
"88547","20625","","5","","5","15","4","saliente","2025-10-13 09:16:18","2025-10-13 09:17:12","54","99","voip","0"
"108264","23513","179","2","","2","6","1","entrante","2025-10-13 09:17:34","2025-10-13 09:22:16","282","184","telefono","0"
"15142","22185","48","4","7666","4","11","3","entrante","2025-10-13 09:17:38","2025-10-13 09:20:30","172","72","telefono","1"
"100361","23276","102","4","","4","11","1","saliente","2025-10-13 09:19:08","2025-10-13 09:22:40","212","32","telefono","0"
"36573","9559","24","2","18620","2","6","3","entrante","2025-10-13 09:19:27","2025-10-13 09:27:14","467","222","telefono","1"
"21453","25581","78","1","10875","1","3","1","entrante","2025-10-13 09:21:03","2025-10-13 09:25:07","244","50","telefono","0"
"122866","15202","42","2","","2","5","1","entrante","2025-10-13 09:21:57","2025-10-13 09:30:50","533","130","telefono","0"
"88346","21318","79","3","","3","8","3","entrante","2025-10-13 09:22:21","2025-10-13 09:24:17","116","96","telefono","1"
"18676","15767","103","2","9482","2","4","3","entrante","2025-10-13 09:22:32","2025-10-13 09:33:28","656","101","voip","1"
"96159","6251","72","1","","1","1","1","saliente","2025-10-13 09:24:20","2025-10-13 09:27:08","168","0","telefono","0"
"65803","11851","2","5","","5","14","6","entrante","2025-10-13 09:26:35","2025-10-13 09:31:38","303","103","telefono","1"
"34259","11888","179","2","17433","2","4","2","entrante","2025-10-13 09:27:33","2025-10-13 09:33:51","378","174","campana","1"
"33653","12241","134","2","17125","2","5","6","entrante","2025-10-13 09:29:20","2025-10-13 09:33:41","261","128","voip","1"
"73687","22952","43","4","","4","10","7","saliente","2025-10-13 09:30:04","2025-10-13 09:34:16","252","76","telefono","0"
"38359","24786","117","2","19539","2","4","1","entrante","2025-10-13 09:30:52","2025-10-13 09:43:01","729","73","telefono","0"
"76116","12898","70","2","","2","5","1","entrante","2025-10-13 09:32:29","2025-10-13 09:40:52","503","102","telefono","0"
"124867","23601","165","5","","5","15","1","entrante","2025-10-13 09:32:34","2025-10-13 09:35:00","146","92","voip","0"
"118872","22869","172","1","","1","3","1","entrante","2025-10-13 09:32:53","2025-10-13 09:36:04","191","85","telefono","0"
"11823","15286","3","2","5986","2","4","2","entrante","2025-10-13 09:37:13","2025-10-13 09:45:34","501","135","telefono","1"
"66320","15096","70","2","","2","6","1","entrante","2025-10-13 09:37:58","2025-10-13 09:45:53","475","127","telefono","0"
"51243","18729","27","1","26052","1","1","1","entrante","2025-10-13 09:39:04","2025-10-13 09:42:42","218","60","telefono","0"
"107492","1810","8","5","","5","15","1","entrante","2025-10-13 09:40:04","2025-10-13 09:43:17","193","65","telefono","0"
"74567","4207","8","5","","5","13","6","entrante","2025-10-13 09:41:24","2025-10-13 09:44:14","170","115","telefono","1"
"58744","16350","77","2","","2","4","1","saliente","2025-10-13 09:41:31","2025-10-13 09:47:12","341","120","telefono","0"
"90278","1387","166","2","","2","5","1","saliente","2025-10-13 09:43:21","2025-10-13 09:47:57","276","114","voip","0"
"92701","19092","97","5","","5","15","3","entrante","2025-10-13 09:43:58","2025-10-13 09:48:00","242","59","telefono","1"
"82349","4897","122","1","","1","3","3","entrante","2025-10-13 09:44:49","2025-10-13 09:47:46","177","40","voip","1"
"3897","17192","23","2","1988","2","4","3","entrante","2025-10-13 09:48:11","2025-10-13 09:51:45","214","32","telefono","1"
"31566","685","165","5","16032","5","14","1","entrante","2025-10-13 09:48:32","2025-10-13 09:51:02","150","100","telefono","0"
"52377","1838","21","1","26638","1","1","2","entrante","2025-10-13 09:49:25","2025-10-13 09:53:12","227","55","telefono","1"
"106829","19766","","4","","4","11","4","saliente","2025-10-13 09:49:46","2025-10-13 09:50:13","27","0","voip","0"
"95482","15553","123","3","","3","9","7","entrante","2025-10-13 09:50:49","2025-10-13 09:54:34","225","0","telefono","0"
"75424","24218","176","2","","2","5","1","saliente","2025-10-13 09:53:09","2025-10-13 10:01:56","527","92","voip","0"
"66601","26691","169","5","","5","15","1","saliente","2025-10-13 09:53:29","2025-10-13 09:57:05","216","74","telefono","0"
"114551","19544","7","1","","1","1","1","entrante","2025-10-13 09:55:10","2025-10-13 10:00:11","301","64","telefono","0"
"29531","19021","116","2","14988","2","6","6","entrante","2025-10-13 09:56:04","2025-10-13 10:03:06","422","41","telefono","1"
"103964","29364","69","5","","5","14","6","entrante","2025-10-13 09:57:40","2025-10-13 10:01:01","201","107","telefono","1"
"75407","21388","64","2","","2","4","3","saliente","2025-10-13 09:57:41","2025-10-13 10:04:41","420","85","telefono","1"
"5657","4503","105","5","2865","5","14","3","entrante","2025-10-13 09:58:00","2025-10-13 10:01:44","224","115","voip","1"
"32592","5816","146","1","16584","1","1","1","entrante","2025-10-13 09:58:47","2025-10-13 10:05:25","398","113","telefono","0"
"13519","29271","91","1","6852","1","3","3","entrante","2025-10-13 10:02:33","2025-10-13 10:06:10","217","103","telefono","1"
"102585","26011","7","1","","1","1","3","entrante","2025-10-13 10:03:45","2025-10-13 10:08:24","279","102","telefono","1"
"4414","29806","176","2","2238","2","5","2","entrante","2025-10-13 10:04:04","2025-10-13 10:15:31","687","129","campana","1"
"121454","120","118","3","","3","7","1","entrante","2025-10-13 10:04:49","2025-10-13 10:08:28","219","61","telefono","0"
"77974","22388","117","2","","2","5","1","saliente","2025-10-13 10:07:22","2025-10-13 10:13:33","371","47","voip","0"
"66984","22863","131","1","","1","1","1","saliente","2025-10-13 10:08:16","2025-10-13 10:11:54","218","107","telefono","0"
"108189","14970","132","1","","1","1","1","entrante","2025-10-13 10:09:15","2025-10-13 10:13:10","235","89","telefono","0"
"94844","29607","111","5","","5","15","1","entrante","2025-10-13 10:09:55","2025-10-13 10:13:04","189","79","telefono","0"
"66167","14540","159","1","","1","1","1","entrante","2025-10-13 10:12:14","2025-10-13 10:16:35","261","92","telefono","0"
"83673","14304","131","1","","1","1","1","entrante","2025-10-13 10:12:58","2025-10-13 10:15:35","157","68","telefono","0"
"67885","7412","2","5","","5","13","1","saliente","2025-10-13 10:16:37","2025-10-13 10:22:11","334","17","telefono","0"
"98099","5025","59","3","","3","7","1","entrante","2025-10-13 10:17:20","2025-10-13 10:19:03","103","83","telefono","0"
"112882","1653","7","1","","1","1","1","entrante","2025-10-13 10:18:10","2025-10-13 10:24:34","384","112","telefono","0"
"64874","26057","178","4","","4","12","1","entrante","2025-10-13 10:19:28","2025-10-13 10:21:13","105","75","voip","0"
"56680","22581","64","2","28791","2","6","3","entrante","2025-10-13 10:19:34","2025-10-13 10:35:03","929","197","voip","1"
"59511","28214","145","1","","1","2","1","saliente","2025-10-13 10:19:34","2025-10-13 10:23:07","213","103","telefono","0"
"62166","24680","2","5","","5","14","1","entrante","2025-10-13 10:19:39","2025-10-13 10:22:44","185","80","telefono","0"
"120151","16895","10","2","","2","5","1","entrante","2025-10-13 10:19:53","2025-10-13 10:27:14","441","45","telefono","0"
"64609","27404","87","1","","1","3","1","entrante","2025-10-13 10:20:42","2025-10-13 10:24:43","241","68","telefono","0"
"78252","19624","","3","","3","8","4","entrante","2025-10-13 10:20:55","2025-10-13 10:21:34","39","139","telefono","0"
"112340","5584","38","1","","1","2","1","entrante","2025-10-13 10:21:09","2025-10-13 10:25:37","268","68","telefono","0"
"4480","15311","","5","2271","5","14","4","entrante","2025-10-13 10:22:08","2025-10-13 10:23:10","62","49","telefono","0"
"73479","3918","180","2","","2","5","1","entrante","2025-10-13 10:23:07","2025-10-13 10:33:22","615","123","telefono","0"
"86174","459","80","1","","1","1","1","entrante","2025-10-13 10:25:50","2025-10-13 10:29:05","195","103","telefono","0"
"23507","27309","119","4","11928","4","11","1","saliente","2025-10-13 10:27:05","2025-10-13 10:29:36","151","48","campana","0"
"62061","27951","129","1","","1","2","1","entrante","2025-10-13 10:29:11","2025-10-13 10:31:42","151","71","voip","0"
"89961","3976","82","2","","2","6","1","entrante","2025-10-13 10:29:19","2025-10-13 10:36:13","414","109","telefono","0"
"118099","26613","","5","","5","15","4","entrante","2025-10-13 10:29:47","2025-10-13 10:30:09","22","96","telefono","0"
"114888","23539","14","1","","1","3","1","entrante","2025-10-13 10:30:35","2025-10-13 10:33:50","195","73","telefono","0"
"91698","25688","87","1","","1","2","1","entrante","2025-10-13 10:32:25","2025-10-13 10:35:36","191","96","telefono","0"
"92637","18154","90","5","","5","15","1","entrante","2025-10-13 10:34:58","2025-10-13 10:38:02","184","152","voip","0"
"1594","17853","80","1","801","1","2","3","entrante","2025-10-13 10:35:23","2025-10-13 10:40:40","317","71","telefono","1"
"72413","11367","132","1","","1","1","3","entrante","2025-10-13 10:37:16","2025-10-13 10:39:16","120","40","telefono","1"
"64633","3091","109","4","","4","10","1","entrante","2025-10-13 10:37:41","2025-10-13 10:40:10","149","4","voip","0"
"73714","24290","13","3","","3","8","1","entrante","2025-10-13 10:37:42","2025-10-13 10:41:33","231","46","telefono","0"
"36782","14996","157","3","18721","3","9","3","entrante","2025-10-13 10:39:06","2025-10-13 10:43:21","255","139","telefono","1"
"79443","12208","125","1","","1","2","1","saliente","2025-10-13 10:39:20","2025-10-13 10:41:52","152","67","telefono","0"
"115400","16015","176","2","","2","6","1","entrante","2025-10-13 10:40:55","2025-10-13 10:51:35","640","106","voip","0"
"103877","585","136","4","","4","10","1","saliente","2025-10-13 10:42:08","2025-10-13 10:44:34","146","14","telefono","0"
"54840","397","36","5","27880","5","15","3","entrante","2025-10-13 10:43:50","2025-10-13 10:48:33","283","124","telefono","1"
"42612","10975","123","3","21697","3","8","2","entrante","2025-10-13 10:46:02","2025-10-13 10:49:51","229","53","campana","1"
"122571","14977","8","5","","5","13","6","saliente","2025-10-13 10:46:12","2025-10-13 10:49:34","202","71","campana","1"
"39415","17703","156","3","20083","3","7","3","entrante","2025-10-13 10:46:50","2025-10-13 10:51:40","290","3","telefono","1"
"83778","16143","118","3","","3","8","3","saliente","2025-10-13 10:50:50","2025-10-13 10:54:31","221","40","telefono","1"
"22003","22853","73","2","11155","2","5","1","entrante","2025-10-13 10:50:56","2025-10-13 11:04:14","798","72","telefono","0"
"41722","27749","144","5","21261","5","13","3","entrante","2025-10-13 10:51:03","2025-10-13 10:53:49","166","94","telefono","1"
"108386","16163","28","4","","4","12","1","saliente","2025-10-13 10:51:31","2025-10-13 10:56:07","276","87","telefono","0"
"23799","7764","90","5","12079","5","13","1","entrante","2025-10-13 10:52:33","2025-10-13 10:57:08","275","100","campana","0"
"7398","19266","86","4","3749","4","12","1","entrante","2025-10-13 10:53:02","2025-10-13 10:55:39","157","106","telefono","0"
"52225","22456","83","3","26557","3","7","1","entrante","2025-10-13 10:54:46","2025-10-13 10:59:50","304","132","telefono","0"
"76140","18990","25","1","","1","2","1","entrante","2025-10-13 10:57:46","2025-10-13 11:02:38","292","86","telefono","0"
"76792","13840","119","4","","4","12","3","saliente","2025-10-13 11:01:00","2025-10-13 11:03:08","128","17","telefono","1"
"36806","12713","144","5","18738","5","13","2","entrante","2025-10-13 11:03:29","2025-10-13 11:07:48","259","33","telefono","1"
"66590","27234","77","2","","2","5","1","entrante","2025-10-13 11:03:30","2025-10-13 11:07:35","245","80","telefono","0"
"88912","20035","75","5","","5","15","1","entrante","2025-10-13 11:03:44","2025-10-13 11:06:43","179","137","telefono","0"
"58935","13938","55","2","","2","5","6","entrante","2025-10-13 11:03:44","2025-10-13 11:09:53","369","42","voip","1"
"61343","24386","71","2","","2","5","1","entrante","2025-10-13 11:04:13","2025-10-13 11:10:55","402","129","voip","0"
"108587","10199","165","5","","5","15","1","entrante","2025-10-13 11:04:18","2025-10-13 11:07:15","177","61","telefono","0"
"96805","4583","140","3","","3","8","1","entrante","2025-10-13 11:05:35","2025-10-13 11:09:14","219","67","telefono","0"
"121297","27923","16","4","","4","11","1","saliente","2025-10-13 11:05:51","2025-10-13 11:08:01","130","18","telefono","0"
