id_pago,id_factura,fecha_pago,valor_pagado,metodo_pago,estado_pago
195,255,2026-04-16,162555,transferencia,parcial
196,257,2026-02-23,79394,pse,aplicado
197,258,2026-04-13,87118,transferencia,aplicado
198,259,2025-10-20,54858,pse,aplicado
199,260,2026-02-28,68838,transferencia,aplicado
200,261,2026-04-23,106143,efectivo,aplicado
201,262,2025-10-25,66234,transferencia,aplicado
202,263,2026-01-01,56859,tarjeta_debito,aplicado
203,264,2026-01-04,63919,pse,aplicado
205,266,2025-10-21,25625,tarjeta_credito,aplicado
206,268,2025-10-18,254293,pse,aplicado
207,269,2026-03-13,251028,recaudo_externo,aplicado
208,270,2026-04-30,258933,tarjeta_debito,aplicado
209,271,2025-10-10,47730,pse,aplicado
210,272,2025-12-24,19781,tarjeta_credito,parcial
211,273,2026-03-04,40640,recaudo_externo,aplicado
212,274,2026-04-13,48280,efectivo,aplicado
213,275,2026-03-14,38116,efectivo,aplicado
214,278,2025-10-16,30072,efectivo,aplicado
215,279,2025-10-20,270464,tarjeta_debito,aplicado
216,281,2025-10-22,100599,efectivo,aplicado
217,284,2026-03-23,94007,efectivo,aplicado
218,285,2026-03-31,28663,pse,aplicado
219,288,2026-04-23,50039,tarjeta_debito,aplicado
220,289,2025-10-08,94377,transferencia,aplicado
221,290,2026-03-01,104452,tarjeta_debito,aplicado
222,291,2025-10-15,99128,pse,aplicado
223,294,2025-10-16,158530,tarjeta_debito,aplicado
226,297,2026-03-24,151835,transferencia,aplicado
227,298,2025-10-31,62794,efectivo,aplicado
228,300,2025-10-16,94222,efectivo,aplicado
229,301,2025-12-14,91506,transferencia,aplicado
230,304,2025-11-02,32486,transferencia,aplicado
231,305,2025-11-20,75899,recaudo_externo,aplicado
232,306,2025-12-07,87554,recaudo_externo,aplicado
233,308,2026-04-22,71514,tarjeta_credito,aplicado
234,309,2025-12-12,47470,recaudo_externo,aplicado
235,310,2025-10-29,78488,pse,aplicado
236,312,2026-03-21,63776,transferencia,aplicado
237,314,2026-01-22,154599,recaudo_externo,aplicado
238,315,2026-04-01,153807,tarjeta_credito,aplicado
239,316,2026-04-15,113616,recaudo_externo,aplicado
240,317,2025-10-22,229909,efectivo,aplicado
241,318,2025-12-03,220086,tarjeta_debito,aplicado
242,319,2026-01-30,213220,pse,aplicado
243,320,2025-10-30,23132,tarjeta_credito,aplicado
245,325,2026-02-19,38225,tarjeta_credito,aplicado
246,326,2026-04-29,20601,transferencia,parcial
247,327,2026-04-18,68066,tarjeta_debito,aplicado
248,329,2025-11-18,56732,recaudo_externo,aplicado
249,330,2026-02-16,60159,efectivo,aplicado
250,332,2026-05-02,32833,transferencia,aplicado
251,334,2026-05-06,128500,pse,aplicado
252,335,2025-10-30,31642,efectivo,aplicado
253,336,2026-02-06,23107,transferencia,aplicado
254,337,2025-12-12,25081,tarjeta_credito,aplicado
256,340,2025-12-22,17480,pse,parcial
257,341,2025-12-26,30154,recaudo_externo,aplicado
258,342,2026-02-05,32941,transferencia,aplicado
259,343,2025-10-23,88281,pse,aplicado
260,344,2025-11-18,73309,transferencia,aplicado
261,345,2026-02-02,83987,recaudo_externo,aplicado
262,346,2026-03-02,74571,transferencia,aplicado
263,347,2025-11-21,14048,transferencia,parcial
264,348,2025-12-22,41845,tarjeta_credito,aplicado
265,349,2026-02-17,41393,tarjeta_debito,aplicado
267,351,2025-11-27,61393,transferencia,aplicado
268,352,2026-02-22,58625,efectivo,aplicado
269,353,2026-03-24,65565,tarjeta_credito,aplicado
270,354,2025-11-20,86474,recaudo_externo,aplicado
271,355,2025-12-22,82382,tarjeta_credito,aplicado
272,357,2026-04-21,84640,transferencia,aplicado
273,358,2026-01-01,21203,tarjeta_debito,aplicado
274,359,2026-04-10,22181,transferencia,aplicado
275,360,2026-02-04,105541,pse,aplicado
276,362,2025-10-30,123149,tarjeta_debito,aplicado
278,365,2026-04-22,117753,transferencia,aplicado
279,366,2025-10-31,51752,transferencia,aplicado
280,367,2025-12-12,46759,tarjeta_debito,aplicado
281,369,2026-04-21,18710,tarjeta_credito,aplicado
282,370,2025-10-30,33709,efectivo,aplicado
283,371,2026-04-15,31114,efectivo,aplicado
285,374,2026-01-18,31912,transferencia,aplicado
286,375,2026-04-16,47553,efectivo,aplicado
287,379,2026-01-17,75090,tarjeta_credito,aplicado
288,380,2026-03-28,66671,pse,aplicado
290,383,2026-02-04,13803,transferencia,parcial
291,384,2026-02-23,59371,pse,aplicado
292,385,2026-03-25,59110,tarjeta_credito,aplicado
293,386,2025-10-17,60519,efectivo,aplicado
294,389,2025-12-12,37080,recaudo_externo,aplicado
295,390,2025-10-13,121711,tarjeta_credito,aplicado
296,391,2026-01-29,135580,tarjeta_debito,aplicado
297,393,2025-11-05,23615,tarjeta_debito,aplicado
298,395,2025-10-23,81566,pse,aplicado
299,397,2026-01-07,89369,efectivo,aplicado
300,399,2026-04-29,97580,tarjeta_credito,aplicado
301,400,2026-02-13,43812,pse,aplicado
302,401,2025-10-26,35513,tarjeta_credito,aplicado
303,402,2026-03-11,9995,efectivo,parcial
304,403,2025-10-21,40583,transferencia,aplicado
305,404,2026-04-28,45254,efectivo,aplicado
306,405,2025-10-21,144950,recaudo_externo,aplicado
307,406,2026-03-16,146091,recaudo_externo,aplicado
308,407,2026-04-18,143238,pse,aplicado
309,409,2026-02-20,69686,efectivo,aplicado
310,410,2026-03-27,66282,pse,aplicado
311,411,2026-04-29,47940,efectivo,aplicado
312,412,2025-10-20,77559,tarjeta_credito,aplicado
314,415,2026-02-25,83938,recaudo_externo,aplicado
315,416,2026-03-21,85950,tarjeta_credito,aplicado
316,420,2026-04-07,109140,tarjeta_credito,aplicado
317,422,2026-02-13,238000,efectivo,aplicado
318,423,2026-03-25,67342,recaudo_externo,parcial
319,424,2025-10-20,100977,tarjeta_debito,aplicado
320,426,2026-01-09,93400,recaudo_externo,aplicado
321,427,2025-11-01,37015,efectivo,aplicado
322,428,2025-11-28,25044,recaudo_externo,aplicado
323,429,2026-01-30,30658,recaudo_externo,aplicado
324,430,2025-10-22,68563,tarjeta_credito,aplicado
325,431,2025-12-16,82116,tarjeta_debito,aplicado
326,432,2026-01-31,71711,tarjeta_debito,aplicado
327,434,2025-10-31,15112,tarjeta_credito,parcial
328,435,2025-12-25,28629,efectivo,aplicado
329,436,2026-02-25,12015,tarjeta_debito,parcial
330,437,2026-04-06,24196,efectivo,aplicado
331,438,2025-11-02,207075,tarjeta_debito,aplicado
332,440,2026-01-27,41071,tarjeta_debito,aplicado
334,442,2026-02-11,322919,recaudo_externo,aplicado
335,444,2026-02-18,34244,pse,aplicado
336,445,2025-10-14,97241,recaudo_externo,aplicado
337,446,2025-12-03,110644,tarjeta_debito,aplicado
338,447,2026-02-23,102276,transferencia,aplicado
339,448,2026-03-09,99004,tarjeta_debito,aplicado
340,449,2025-10-26,149821,tarjeta_debito,aplicado
341,451,2026-01-21,152082,tarjeta_debito,aplicado
342,452,2026-05-08,56589,tarjeta_debito,parcial
343,456,2025-10-14,76741,transferencia,aplicado
344,457,2025-12-07,93076,transferencia,aplicado
345,458,2026-01-17,79634,pse,aplicado
346,459,2025-10-20,110124,tarjeta_debito,aplicado
348,461,2026-02-20,105217,recaudo_externo,aplicado
349,462,2026-03-18,111971,tarjeta_debito,aplicado
350,464,2025-10-16,353550,recaudo_externo,aplicado
351,465,2026-01-07,88527,efectivo,parcial
352,466,2025-10-21,84750,tarjeta_credito,aplicado
353,467,2025-11-17,77529,pse,aplicado
356,471,2025-10-20,90359,efectivo,aplicado
357,472,2026-01-05,117924,pse,aplicado
358,473,2026-01-20,105730,transferencia,aplicado
359,475,2025-10-21,237024,pse,aplicado
360,476,2026-01-15,229555,efectivo,aplicado
361,477,2025-11-19,129179,tarjeta_credito,aplicado
362,478,2025-12-22,136874,recaudo_externo,aplicado
363,479,2026-02-18,140041,transferencia,aplicado
364,481,2026-04-06,32054,tarjeta_credito,aplicado
365,482,2025-10-20,190983,recaudo_externo,aplicado
366,483,2025-12-25,195009,tarjeta_credito,aplicado
368,487,2026-01-14,36344,recaudo_externo,aplicado
369,488,2026-02-20,38623,tarjeta_debito,aplicado
370,489,2026-04-14,37585,recaudo_externo,aplicado
371,491,2025-11-18,99242,recaudo_externo,aplicado
372,492,2026-02-01,97062,pse,aplicado
374,494,2026-01-08,171793,transferencia,aplicado
375,495,2026-02-16,168686,transferencia,aplicado
376,496,2026-03-15,168639,transferencia,aplicado
377,498,2025-11-01,46057,tarjeta_debito,aplicado
378,499,2025-12-16,40839,pse,aplicado
379,500,2025-10-10,67422,pse,aplicado
380,501,2025-12-27,63681,tarjeta_debito,aplicado
381,502,2026-01-07,55864,pse,aplicado
382,503,2026-04-08,63044,pse,aplicado
384,505,2026-01-04,45503,transferencia,aplicado
385,507,2026-04-23,51361,efectivo,aplicado
386,508,2025-11-19,73963,efectivo,aplicado
387,510,2026-04-01,73876,tarjeta_debito,aplicado
389,512,2026-03-04,127562,pse,aplicado
390,513,2026-04-26,127202,transferencia,aplicado
391,514,2026-02-06,87816,tarjeta_credito,parcial
392,515,2026-05-05,151562,tarjeta_credito,aplicado
393,516,2025-10-30,66021,pse,aplicado
394,517,2025-11-24,55267,pse,aplicado
395,518,2026-04-11,58689,pse,aplicado
397,520,2025-10-04,37436,efectivo,aplicado
398,521,2026-02-26,29887,tarjeta_credito,aplicado
399,523,2026-04-18,169890,tarjeta_debito,aplicado
400,527,2025-10-13,39644,transferencia,aplicado
401,528,2025-11-15,40602,tarjeta_credito,aplicado
402,529,2026-03-18,37705,pse,aplicado
403,530,2025-12-22,281375,tarjeta_debito,aplicado
404,531,2025-10-26,61660,tarjeta_debito,aplicado
405,532,2025-11-20,57074,transferencia,aplicado
406,533,2025-12-24,24220,efectivo,parcial
407,535,2025-12-05,90988,tarjeta_debito,aplicado
408,536,2025-10-19,179450,efectivo,aplicado
409,538,2026-01-03,169405,efectivo,aplicado
410,539,2025-10-18,49005,pse,aplicado
412,541,2026-01-06,25759,efectivo,parcial
413,542,2026-02-03,48845,pse,aplicado
414,543,2026-02-19,61596,transferencia,aplicado
415,544,2026-04-24,58649,transferencia,aplicado
416,545,2025-10-08,39375,recaudo_externo,aplicado
417,546,2025-12-01,31095,recaudo_externo,aplicado
418,547,2026-01-20,31698,transferencia,aplicado
419,548,2025-12-18,24999,pse,aplicado
420,550,2026-03-09,37609,efectivo,aplicado
421,551,2026-04-01,41605,recaudo_externo,aplicado
422,553,2025-11-29,101225,tarjeta_debito,aplicado
423,554,2025-12-12,101458,efectivo,aplicado
424,556,2026-03-01,96760,pse,aplicado
425,559,2025-12-25,143582,tarjeta_debito,aplicado
426,560,2026-03-28,147517,transferencia,aplicado
427,561,2025-10-17,62325,tarjeta_credito,aplicado
428,564,2025-10-21,83487,tarjeta_debito,aplicado
429,565,2025-11-27,88509,transferencia,aplicado
430,567,2025-11-07,77201,efectivo,aplicado
431,569,2026-04-28,82050,tarjeta_credito,aplicado
432,570,2025-10-23,51620,recaudo_externo,aplicado
434,572,2026-02-16,42717,tarjeta_debito,aplicado
435,573,2025-11-05,46360,transferencia,aplicado
436,574,2026-05-12,15703,efectivo,parcial
438,576,2025-12-31,35054,efectivo,aplicado
439,578,2026-01-19,24465,tarjeta_debito,aplicado
440,580,2025-12-30,12943,transferencia,parcial
441,581,2026-02-26,36399,efectivo,aplicado
442,582,2026-04-26,22139,efectivo,aplicado
443,584,2025-11-30,62976,pse,aplicado
444,585,2025-12-16,61234,tarjeta_credito,aplicado
445,586,2026-02-23,57620,tarjeta_credito,aplicado
446,587,2026-03-29,64993,transferencia,aplicado
448,589,2025-12-07,38937,efectivo,aplicado
449,590,2025-11-10,35911,recaudo_externo,aplicado
450,591,2025-12-08,27094,pse,aplicado
451,592,2026-01-19,24680,tarjeta_debito,aplicado
452,594,2025-12-27,258284,tarjeta_debito,aplicado
453,595,2026-03-12,270047,pse,aplicado
454,598,2026-04-17,42058,recaudo_externo,aplicado
456,600,2025-11-13,93840,transferencia,aplicado
457,601,2026-01-23,94402,efectivo,aplicado
458,602,2026-04-20,90788,recaudo_externo,aplicado
460,606,2026-04-08,279920,transferencia,aplicado
461,607,2026-03-16,157904,tarjeta_credito,aplicado
462,608,2025-10-12,42130,tarjeta_credito,aplicado
463,610,2025-12-17,109965,recaudo_externo,aplicado
464,611,2026-02-14,112805,transferencia,aplicado
465,612,2025-10-16,62544,tarjeta_debito,aplicado
466,614,2026-02-12,52266,pse,aplicado
467,616,2026-04-18,58266,efectivo,aplicado
468,617,2026-04-17,31549,tarjeta_credito,aplicado
469,618,2025-10-18,198556,tarjeta_debito,aplicado
470,619,2025-12-12,119338,pse,parcial
471,620,2026-02-12,197792,recaudo_externo,aplicado
472,621,2026-03-04,211636,tarjeta_debito,aplicado
474,623,2026-04-07,119793,recaudo_externo,aplicado
475,624,2026-01-19,47422,tarjeta_debito,aplicado
476,627,2025-11-14,84217,recaudo_externo,aplicado
477,628,2025-12-27,87203,tarjeta_debito,aplicado
478,629,2026-03-16,87671,transferencia,aplicado
479,630,2026-04-23,86469,tarjeta_debito,aplicado
480,631,2025-10-21,34014,recaudo_externo,aplicado
481,633,2025-12-21,28988,pse,aplicado
482,634,2026-03-30,19989,pse,parcial
483,635,2026-04-13,31377,tarjeta_credito,aplicado
484,636,2025-10-14,30563,efectivo,aplicado
485,637,2025-10-10,327907,recaudo_externo,aplicado
486,641,2026-04-20,331159,pse,aplicado
487,642,2025-10-18,67349,tarjeta_credito,aplicado
488,644,2026-02-03,31066,tarjeta_credito,aplicado
489,646,2025-12-01,242321,pse,aplicado
490,647,2026-03-21,187685,efectivo,parcial
491,648,2025-10-24,67534,transferencia,aplicado
492,650,2026-02-18,42493,tarjeta_debito,aplicado
493,653,2025-11-01,176917,recaudo_externo,parcial
494,654,2025-10-24,77468,tarjeta_credito,aplicado
495,655,2025-12-22,72583,recaudo_externo,aplicado
496,656,2026-04-13,72559,transferencia,aplicado
497,657,2025-10-23,67765,pse,aplicado
498,658,2026-02-20,68662,transferencia,aplicado
499,659,2025-10-16,136408,recaudo_externo,aplicado
500,660,2025-12-30,118387,recaudo_externo,aplicado
501,663,2026-02-24,111216,recaudo_externo,aplicado
502,664,2026-03-18,110186,recaudo_externo,aplicado
503,665,2026-04-13,117008,tarjeta_credito,aplicado
504,667,2025-12-31,41042,recaudo_externo,aplicado
505,668,2025-10-15,80879,transferencia,aplicado
506,670,2026-03-14,68242,efectivo,aplicado
508,675,2025-12-23,89374,pse,aplicado
509,678,2025-11-02,55974,tarjeta_credito,aplicado
510,679,2025-12-13,64397,pse,aplicado
511,680,2026-01-26,47990,efectivo,aplicado
512,682,2025-10-23,57244,tarjeta_debito,aplicado
513,683,2025-12-31,59542,tarjeta_debito,aplicado
514,684,2026-02-19,56883,transferencia,aplicado
515,686,2025-10-18,47649,tarjeta_debito,aplicado
516,687,2026-04-26,33197,efectivo,aplicado
517,688,2026-02-23,87332,efectivo,aplicado
518,690,2025-10-12,43620,tarjeta_debito,aplicado
519,691,2026-01-30,57892,transferencia,aplicado
520,692,2026-03-26,51347,pse,aplicado
521,693,2025-10-11,84103,pse,aplicado
522,695,2026-01-04,91072,transferencia,aplicado
523,696,2026-03-16,93025,transferencia,aplicado
524,697,2025-11-01,41635,recaudo_externo,aplicado
525,698,2025-12-09,37448,pse,aplicado
526,699,2025-10-19,145842,tarjeta_debito,aplicado
527,701,2025-12-10,10203,recaudo_externo,parcial
528,702,2025-10-11,82617,tarjeta_credito,aplicado
529,703,2025-12-11,95224,pse,aplicado
530,704,2026-02-20,95719,tarjeta_debito,aplicado
531,705,2026-03-23,94720,tarjeta_debito,aplicado
532,706,2025-10-23,268275,tarjeta_debito,aplicado
533,707,2025-11-23,268954,tarjeta_credito,aplicado
534,709,2026-02-11,259213,transferencia,aplicado
536,714,2026-02-13,66763,recaudo_externo,aplicado
537,715,2026-03-15,73527,transferencia,aplicado
538,717,2026-01-02,28015,tarjeta_debito,aplicado
539,718,2026-04-16,16928,tarjeta_debito,aplicado
540,720,2026-04-10,16130,efectivo,parcial
542,724,2026-01-31,179119,recaudo_externo,aplicado
543,725,2026-01-11,26487,tarjeta_debito,aplicado
544,726,2026-03-04,29816,transferencia,aplicado
545,727,2026-03-20,32659,pse,aplicado
546,728,2026-04-12,29041,efectivo,aplicado
547,730,2026-02-14,127267,recaudo_externo,aplicado
548,731,2026-03-22,128097,transferencia,aplicado
549,732,2026-04-19,162668,transferencia,aplicado
550,733,2026-04-27,118052,tarjeta_credito,aplicado
551,738,2025-12-17,101793,recaudo_externo,aplicado
552,739,2026-01-26,84100,transferencia,aplicado
553,740,2026-02-27,91541,efectivo,aplicado
554,743,2025-11-28,203434,pse,aplicado
555,745,2026-03-15,301021,tarjeta_debito,aplicado
556,746,2026-04-28,304541,efectivo,aplicado
557,747,2025-10-16,27960,efectivo,aplicado
558,748,2025-12-24,29744,tarjeta_credito,aplicado
559,749,2026-02-14,16451,efectivo,aplicado
560,750,2025-10-31,28958,recaudo_externo,parcial
561,752,2026-03-17,41867,transferencia,aplicado
562,753,2025-10-23,172950,recaudo_externo,aplicado
563,754,2025-11-24,165141,pse,aplicado
564,755,2026-02-03,171414,recaudo_externo,aplicado
565,756,2026-03-15,161682,recaudo_externo,aplicado
566,757,2026-01-28,35832,tarjeta_debito,aplicado
567,758,2026-04-06,44711,recaudo_externo,aplicado
568,759,2025-11-06,69847,pse,aplicado
569,762,2025-10-24,23358,recaudo_externo,aplicado
570,763,2025-10-20,61678,tarjeta_credito,aplicado
572,765,2026-04-19,51495,tarjeta_debito,parcial
573,766,2025-10-15,227256,recaudo_externo,aplicado
574,767,2025-12-10,116720,tarjeta_debito,parcial
575,768,2025-12-09,218486,efectivo,aplicado
576,771,2025-11-07,39648,tarjeta_debito,aplicado
577,772,2026-03-04,27017,transferencia,aplicado
578,773,2025-11-17,99493,recaudo_externo,aplicado
579,774,2026-03-05,98857,tarjeta_credito,aplicado
581,776,2025-10-17,24567,transferencia,aplicado
582,777,2025-12-23,42083,recaudo_externo,aplicado
583,779,2025-11-04,85031,recaudo_externo,aplicado
584,780,2025-12-26,102000,pse,aplicado
585,781,2026-01-20,102131,tarjeta_credito,aplicado
586,782,2026-02-15,89199,pse,aplicado
587,783,2026-03-14,94821,pse,aplicado
588,784,2026-03-11,27778,tarjeta_debito,aplicado
589,785,2026-03-27,30250,transferencia,aplicado
590,786,2025-11-05,60579,tarjeta_credito,aplicado
591,787,2025-12-22,58254,efectivo,aplicado
592,788,2026-02-24,55105,pse,aplicado
593,789,2025-10-09,166298,pse,aplicado
594,790,2026-02-24,170945,pse,aplicado
595,791,2026-03-27,162848,tarjeta_credito,aplicado
596,795,2026-02-24,187209,tarjeta_debito,aplicado
597,796,2026-03-16,172724,tarjeta_debito,aplicado
598,797,2025-11-02,95448,tarjeta_debito,aplicado
599,798,2025-12-16,85034,recaudo_externo,aplicado
600,799,2026-05-13,39362,tarjeta_debito,parcial
601,800,2025-10-14,25430,pse,aplicado
602,801,2026-02-25,27196,transferencia,aplicado
603,803,2025-10-18,318603,tarjeta_credito,aplicado
