id_caso,id_cliente,id_tipo_servicio,id_motivo,descripcion_caso,fecha_apertura,fecha_cierre,estado_caso,resuelto_primer_contacto,prioridad
96,77760,1,2,Caso 96 asociado a motivo 2,2025-07-16 18:43:28,2025-08-02 00:43:28,cerrado,1,media
97,13961,1,3,Caso 97 asociado a motivo 3,2026-01-05 01:19:23,2026-01-11 11:19:23,cerrado,1,media
98,220,3,9,Caso 98 asociado a motivo 9,2025-11-18 07:07:19,2025-11-26 09:12:04,cerrado,0,baja
99,12456,3,9,Caso 99 asociado a motivo 9,2025-10-13 13:53:09,,en_proceso,0,alta
100,109892,2,5,Caso 100 asociado a motivo 5,2026-01-28 16:02:57,2026-03-01 06:33:40,cerrado,0,baja
101,75699,2,6,Caso 101 asociado a motivo 6,2026-05-20 10:36:06,,en_proceso,0,baja
102,34934,1,2,Caso 102 asociado a motivo 2,2026-05-12 08:05:55,,en_proceso,0,alta
103,99689,2,4,Caso 103 asociado a motivo 4,2026-02-12 08:49:15,2026-03-03 17:49:15,cerrado,1,media
104,76055,2,5,Caso 104 asociado a motivo 5,2025-10-20 08:14:12,2025-11-05 18:14:12,cerrado,0,media
105,98234,5,15,Caso 105 asociado a motivo 15,2026-04-28 13:16:42,2026-05-05 14:16:42,cerrado,1,baja
106,101215,1,1,Caso 106 asociado a motivo 1,2025-08-06 10:10:54,2025-08-15 14:20:53,cerrado,0,media
107,90189,2,6,Caso 107 asociado a motivo 6,2025-06-25 09:05:28,2025-07-12 20:36:31,cerrado,0,baja
108,20709,1,3,Caso 108 asociado a motivo 3,2025-11-25 14:27:34,2025-12-12 18:27:34,cerrado,0,media
109,97468,1,1,Caso 109 asociado a motivo 1,2026-04-16 11:11:41,2026-04-20 20:11:41,cerrado,1,media
110,38750,5,14,Caso 110 asociado a motivo 14,2025-09-04 16:23:07,2025-09-16 08:03:01,cancelado,0,baja
111,90773,1,3,Caso 111 asociado a motivo 3,2025-09-09 17:35:54,2025-09-27 18:35:54,cerrado,1,baja
112,114010,5,15,Caso 112 asociado a motivo 15,2025-08-29 14:48:57,,en_proceso,0,baja
113,124819,2,6,Caso 113 asociado a motivo 6,2026-03-11 12:14:17,2026-03-27 23:14:17,cerrado,0,baja
114,68062,5,14,Caso 114 asociado a motivo 14,2025-07-03 15:40:15,2025-07-10 15:40:15,cerrado,0,alta
115,113712,2,6,Caso 115 asociado a motivo 6,2025-07-29 09:14:26,2025-08-11 09:14:26,cerrado,1,baja
116,97945,1,1,Caso 116 asociado a motivo 1,2026-01-27 16:06:06,2026-02-14 02:06:06,cerrado,1,media
117,16283,3,8,Caso 117 asociado a motivo 8,2026-04-10 11:16:20,2026-04-20 18:16:20,cerrado,1,alta
118,33249,5,13,Caso 118 asociado a motivo 13,2026-02-17 08:25:48,,en_proceso,0,alta
119,100398,2,4,Caso 119 asociado a motivo 4,2025-12-23 16:47:42,2026-01-06 21:47:42,cerrado,1,media
120,831,1,1,Caso 120 asociado a motivo 1,2025-11-27 11:56:47,2025-11-29 22:56:47,cerrado,1,baja
121,25046,5,13,Caso 121 asociado a motivo 13,2025-06-13 17:49:00,2025-07-02 19:49:00,cerrado,0,baja
122,9015,5,14,Caso 122 asociado a motivo 14,2026-05-02 16:38:05,2026-05-04 21:38:05,cerrado,1,baja
123,49768,2,6,Caso 123 asociado a motivo 6,2025-09-13 11:21:25,,en_proceso,0,critica
124,59371,3,8,Caso 124 asociado a motivo 8,2025-09-08 20:11:38,2025-09-14 01:11:38,cerrado,1,media
125,64576,2,4,Caso 125 asociado a motivo 4,2025-09-02 12:36:49,2025-09-25 17:14:41,cerrado,0,baja
126,43487,5,13,Caso 126 asociado a motivo 13,2025-07-20 09:26:34,2025-08-03 19:26:34,cerrado,0,alta
127,67901,3,8,Caso 127 asociado a motivo 8,2025-08-13 08:13:03,2025-08-25 13:13:03,cerrado,0,alta
128,104659,5,13,Caso 128 asociado a motivo 13,2026-02-16 15:28:57,2026-03-07 01:28:57,cerrado,0,baja
129,96876,1,2,Caso 129 asociado a motivo 2,2025-10-02 09:28:06,2025-10-19 17:28:06,cerrado,0,media
130,95357,4,11,Caso 130 asociado a motivo 11,2026-03-24 09:09:49,,en_proceso,0,media
131,72403,5,15,Caso 131 asociado a motivo 15,2026-02-09 09:12:50,2026-02-23 11:12:50,cerrado,1,baja
132,113651,2,4,Caso 132 asociado a motivo 4,2026-02-27 03:22:11,2026-03-07 04:22:11,cerrado,0,media
133,90056,5,13,Caso 133 asociado a motivo 13,2025-11-17 16:08:05,,en_proceso,0,media
134,71682,2,5,Caso 134 asociado a motivo 5,2026-04-06 15:10:25,,en_proceso,0,baja
135,94974,1,3,Caso 135 asociado a motivo 3,2025-12-26 13:37:21,2026-01-27 14:11:58,cerrado,0,alta
136,15338,5,15,Caso 136 asociado a motivo 15,2026-03-06 17:13:58,2026-03-21 19:13:58,cerrado,0,media
137,9835,1,3,Caso 137 asociado a motivo 3,2025-12-02 10:16:03,2025-12-08 17:27:04,cerrado,0,baja
138,98062,1,3,Caso 138 asociado a motivo 3,2025-06-09 11:59:34,2025-06-24 07:06:59,cerrado,0,baja
139,12320,2,4,Caso 139 asociado a motivo 4,2025-08-30 16:44:12,2025-09-17 23:44:12,cerrado,0,baja
140,121092,3,7,Caso 140 asociado a motivo 7,2025-12-01 10:11:47,2025-12-13 09:06:34,cerrado,0,alta
141,28787,2,6,Caso 141 asociado a motivo 6,2026-02-12 10:07:03,2026-02-21 16:45:55,cerrado,0,media
142,69570,1,2,Caso 142 asociado a motivo 2,2026-04-30 20:39:42,2026-05-12 03:39:42,cerrado,0,baja
143,17391,2,4,Caso 143 asociado a motivo 4,2025-11-30 14:48:13,2025-12-20 17:48:13,cerrado,0,media
144,17610,5,15,Caso 144 asociado a motivo 15,2025-07-15 10:34:18,,en_proceso,0,baja
145,119341,1,2,Caso 145 asociado a motivo 2,2025-10-23 08:53:07,2025-10-23 16:53:07,cerrado,1,media
146,96473,5,14,Caso 146 asociado a motivo 14,2026-02-28 12:22:52,2026-03-15 22:22:52,cerrado,1,media
147,115070,5,15,Caso 147 asociado a motivo 15,2025-12-24 16:00:00,2026-01-08 01:00:00,cerrado,1,media
148,117490,2,6,Caso 148 asociado a motivo 6,2025-07-03 18:58:07,2025-07-19 21:58:07,cerrado,1,baja
149,59056,1,3,Caso 149 asociado a motivo 3,2025-06-18 17:39:59,,en_proceso,0,baja
150,25208,1,1,Caso 150 asociado a motivo 1,2025-07-08 13:07:18,2025-07-27 16:07:18,cerrado,0,baja
151,100949,4,10,Caso 151 asociado a motivo 10,2026-05-14 10:37:10,2026-05-15 13:37:10,cerrado,1,media
152,21337,1,1,Caso 152 asociado a motivo 1,2025-08-29 02:18:34,,en_proceso,0,media
153,86616,5,14,Caso 153 asociado a motivo 14,2025-12-03 10:42:27,,en_proceso,0,media
154,17982,3,8,Caso 154 asociado a motivo 8,2025-08-10 16:54:06,2025-08-23 20:54:06,cerrado,0,media
155,39161,4,11,Caso 155 asociado a motivo 11,2025-07-30 11:33:54,2025-08-06 21:33:54,cerrado,0,baja
156,85155,5,15,Caso 156 asociado a motivo 15,2025-08-28 22:29:19,,en_proceso,0,baja
157,110541,1,2,Caso 157 asociado a motivo 2,2025-11-20 11:37:01,2025-12-02 21:37:01,cerrado,1,baja
158,123280,3,9,Caso 158 asociado a motivo 9,2026-02-06 13:56:03,2026-02-10 21:56:03,cerrado,1,baja
159,32911,1,1,Caso 159 asociado a motivo 1,2025-07-01 12:07:12,2025-07-06 12:07:12,cerrado,1,alta
160,109608,5,15,Caso 160 asociado a motivo 15,2025-09-08 06:53:52,2025-09-21 11:53:52,cerrado,1,critica
161,49365,2,6,Caso 161 asociado a motivo 6,2026-04-03 08:05:05,2026-04-21 15:31:02,cerrado,0,critica
162,245,4,12,Caso 162 asociado a motivo 12,2026-01-14 07:18:19,2026-01-23 13:18:19,cerrado,0,media
163,78623,1,1,Caso 163 asociado a motivo 1,2025-08-29 08:10:19,2025-09-06 17:28:16,cerrado,0,media
164,1649,2,6,Caso 164 asociado a motivo 6,2025-10-14 13:36:08,2025-10-14 19:36:08,cerrado,1,baja
165,124005,5,14,Caso 165 asociado a motivo 14,2026-04-14 12:56:31,2026-05-06 08:12:48,cerrado,0,media
166,18607,2,4,Caso 166 asociado a motivo 4,2025-08-16 19:13:17,2025-08-31 20:13:17,cerrado,0,baja
167,12530,5,14,Caso 167 asociado a motivo 14,2026-05-25 16:19:08,,en_proceso,0,media
168,76544,1,3,Caso 168 asociado a motivo 3,2025-06-19 10:22:50,2025-07-01 21:22:50,cerrado,0,baja
169,119810,1,3,Caso 169 asociado a motivo 3,2026-02-12 19:57:53,2026-03-04 21:57:53,cerrado,1,baja
170,87359,2,6,Caso 170 asociado a motivo 6,2025-11-15 08:16:57,2025-12-01 13:16:57,cerrado,1,critica
171,89077,2,6,Caso 171 asociado a motivo 6,2025-09-01 08:47:00,,en_proceso,0,baja
172,108050,3,7,Caso 172 asociado a motivo 7,2026-01-16 10:27:54,,en_proceso,0,media
173,111107,1,1,Caso 173 asociado a motivo 1,2025-09-01 09:23:30,2025-09-07 11:23:30,cerrado,1,baja
174,19143,3,8,Caso 174 asociado a motivo 8,2025-11-18 15:54:58,2025-11-18 15:57:56,cerrado,1,media
175,124087,5,15,Caso 175 asociado a motivo 15,2026-03-31 16:06:45,2026-04-03 16:06:45,cerrado,1,media
176,30529,2,5,Caso 176 asociado a motivo 5,2026-05-14 16:05:29,2026-05-26 23:59:59,cerrado,0,baja
177,15750,1,3,Caso 177 asociado a motivo 3,2026-03-16 22:12:33,,en_proceso,0,media
178,36671,5,14,Caso 178 asociado a motivo 14,2026-03-17 13:17:02,2026-04-02 00:17:02,cerrado,0,baja
179,57355,3,9,Caso 179 asociado a motivo 9,2025-06-05 10:24:34,2025-06-25 21:24:34,cerrado,0,media
180,8595,2,4,Caso 180 asociado a motivo 4,2026-02-16 11:16:01,2026-02-24 19:16:01,cerrado,1,baja
181,84802,3,9,Caso 181 asociado a motivo 9,2026-04-09 07:27:34,2026-04-12 11:27:34,cerrado,1,media
182,108439,2,6,Caso 182 asociado a motivo 6,2026-03-19 07:00:05,,en_proceso,0,alta
183,72937,5,15,Caso 183 asociado a motivo 15,2026-05-02 05:51:41,2026-05-12 16:51:41,cerrado,0,baja
184,95146,3,8,Caso 184 asociado a motivo 8,2026-02-18 15:46:41,2026-02-19 01:46:41,cerrado,1,media
185,20219,3,8,Caso 185 asociado a motivo 8,2026-04-11 09:27:21,2026-04-19 17:27:21,cerrado,1,baja
186,440,3,9,Caso 186 asociado a motivo 9,2026-03-23 09:17:55,2026-04-11 17:17:55,cerrado,1,media
187,120331,1,2,Caso 187 asociado a motivo 2,2026-04-17 18:30:50,2026-04-30 00:30:50,cancelado,0,media
188,72879,5,13,Caso 188 asociado a motivo 13,2026-05-13 14:54:59,2026-05-17 19:54:59,cerrado,1,alta
189,64219,5,13,Caso 189 asociado a motivo 13,2026-01-10 13:58:57,2026-01-30 16:58:57,cerrado,1,media
190,51354,1,3,Caso 190 asociado a motivo 3,2026-04-15 17:11:20,2026-04-30 03:11:20,cerrado,1,media
191,5506,4,11,Caso 191 asociado a motivo 11,2025-12-17 18:10:55,,en_proceso,0,media
192,78748,1,3,Caso 192 asociado a motivo 3,2025-08-31 19:13:43,2025-09-20 21:13:43,cerrado,1,baja
193,70245,5,13,Caso 193 asociado a motivo 13,2026-03-27 16:50:22,2026-04-27 13:12:06,cerrado,0,media
194,52915,1,1,Caso 194 asociado a motivo 1,2025-09-03 10:46:24,,en_proceso,0,baja
195,42568,5,15,Caso 195 asociado a motivo 15,2025-09-23 14:33:17,2025-10-03 14:33:17,cerrado,0,media
196,29940,4,12,Caso 196 asociado a motivo 12,2026-05-06 21:09:04,2026-05-22 03:09:04,cerrado,0,baja
197,86578,4,10,Caso 197 asociado a motivo 10,2025-10-23 12:47:16,2025-10-29 14:47:16,cerrado,1,baja
198,18602,5,14,Caso 198 asociado a motivo 14,2025-07-18 11:33:32,2025-07-28 13:41:20,cancelado,0,alta
199,93022,1,3,Caso 199 asociado a motivo 3,2025-08-22 08:41:05,2025-09-10 18:41:05,cerrado,1,baja
200,42640,1,3,Caso 200 asociado a motivo 3,2025-12-10 22:44:53,2025-12-16 22:44:53,cerrado,1,baja
201,80355,3,9,Caso 201 asociado a motivo 9,2025-06-09 16:53:44,2025-06-17 22:53:44,cerrado,1,baja
202,39678,1,2,Caso 202 asociado a motivo 2,2025-06-11 07:57:16,2025-07-01 15:16:33,cerrado,0,baja
203,58554,1,3,Caso 203 asociado a motivo 3,2026-04-02 13:09:04,2026-04-14 20:09:04,cerrado,0,baja
204,475,1,1,Caso 204 asociado a motivo 1,2026-05-09 17:16:52,2026-05-24 00:16:52,cerrado,1,media
205,2275,2,5,Caso 205 asociado a motivo 5,2025-11-24 11:51:14,,en_proceso,0,media
206,120236,2,6,Caso 206 asociado a motivo 6,2025-09-08 10:45:56,,en_proceso,0,media
207,44379,1,2,Caso 207 asociado a motivo 2,2025-07-15 10:58:37,2025-07-28 07:04:46,cerrado,0,media
208,91854,5,13,Caso 208 asociado a motivo 13,2026-03-17 08:49:11,,en_proceso,0,media
209,33864,2,5,Caso 209 asociado a motivo 5,2025-11-10 09:12:05,2025-12-08 17:45:28,cancelado,0,baja
210,4389,1,1,Caso 210 asociado a motivo 1,2025-11-20 07:20:01,2025-12-07 11:20:01,cerrado,0,baja
211,102442,2,4,Caso 211 asociado a motivo 4,2025-06-19 09:19:24,2025-06-25 17:19:24,cerrado,0,alta
212,114824,4,11,Caso 212 asociado a motivo 11,2025-08-01 14:38:05,,en_proceso,0,media
213,124318,1,2,Caso 213 asociado a motivo 2,2025-06-21 16:27:57,2025-07-04 18:27:57,cerrado,1,media
214,37207,1,3,Caso 214 asociado a motivo 3,2026-04-25 14:31:07,2026-05-10 22:31:07,cerrado,1,media
215,102894,3,9,Caso 215 asociado a motivo 9,2025-07-09 11:29:25,2025-07-22 21:29:25,cerrado,1,media
216,84384,1,2,Caso 216 asociado a motivo 2,2026-05-02 18:52:03,2026-05-17 00:52:03,cerrado,0,baja
217,87364,3,7,Caso 217 asociado a motivo 7,2025-06-20 09:29:15,2025-07-04 18:29:15,cerrado,1,media
218,43487,2,5,Caso 218 asociado a motivo 5,2026-01-22 16:12:00,2026-01-27 23:12:00,cerrado,1,baja
219,82375,2,4,Caso 219 asociado a motivo 4,2026-03-02 18:08:19,2026-03-15 19:08:19,cerrado,0,media
220,58135,3,7,Caso 220 asociado a motivo 7,2026-01-12 15:14:04,2026-01-24 21:14:04,cerrado,1,baja
221,49263,1,3,Caso 221 asociado a motivo 3,2025-06-25 15:56:28,2025-07-04 00:56:28,cerrado,1,baja
222,55141,1,2,Caso 222 asociado a motivo 2,2025-06-27 16:32:30,2025-07-15 19:32:30,cerrado,0,critica
223,30048,4,11,Caso 223 asociado a motivo 11,2025-06-13 17:16:11,2025-06-24 00:16:11,cerrado,0,baja
224,55185,2,4,Caso 224 asociado a motivo 4,2025-11-13 02:54:49,2025-12-01 02:54:49,cerrado,0,baja
225,56378,2,6,Caso 225 asociado a motivo 6,2025-12-23 16:52:13,2026-01-01 01:15:53,cerrado,0,media
226,17477,1,3,Caso 226 asociado a motivo 3,2026-05-22 17:27:09,2026-05-26 23:59:59,cerrado,0,alta
227,87992,2,4,Caso 227 asociado a motivo 4,2026-04-21 14:35:37,2026-05-11 08:12:55,cerrado,0,baja
228,83876,1,3,Caso 228 asociado a motivo 3,2026-02-01 16:27:51,,en_proceso,0,media
229,38947,2,5,Caso 229 asociado a motivo 5,2025-10-12 16:48:19,2025-11-01 00:48:19,cerrado,1,media
230,105458,5,15,Caso 230 asociado a motivo 15,2025-07-30 13:13:18,2025-08-09 13:20:13,cerrado,0,media
231,35703,1,3,Caso 231 asociado a motivo 3,2025-07-30 18:04:52,2025-08-09 04:04:52,cerrado,1,baja
232,7828,1,3,Caso 232 asociado a motivo 3,2025-09-11 11:33:29,2025-09-17 22:33:29,cerrado,1,media
233,7696,1,1,Caso 233 asociado a motivo 1,2026-02-19 08:08:44,2026-03-07 13:08:44,cerrado,0,alta
234,49000,1,1,Caso 234 asociado a motivo 1,2025-10-08 00:57:58,2025-10-20 12:16:50,cerrado,0,baja
235,99357,1,3,Caso 235 asociado a motivo 3,2026-04-06 10:54:11,2026-04-15 13:04:17,cerrado,0,media
236,73016,1,2,Caso 236 asociado a motivo 2,2026-03-10 13:33:50,2026-03-30 20:33:50,cerrado,0,alta
